Save,Message,Type,User Status,銷售文件類型,訂單,物料,物料說明,項目數量,收貨數量,基本開始日期,基本完成日期,上線日,系統料齊日,料齊日(生管),TEST上線日,逾期代碼,逾期說明,工單備註
,,MO,ZRTC,93R1,93R124050017,93-F0093-009E,Zoetis Vetscan HUB-US,24,24,2024-05-16 00:00:00,2024-05-30 00:00:00,2024-05-16 00:00:00,2024-05-30 00:00:00,,,2.生產異常,PM確認序號(5/27->5/30),DCN-060898，SW-F0093-D0DA5 change to SW-F0093-D0DA6
,,MO,ZRTC,93N1,93N124070058,93-F0023-0010,STR-TSPI7-070D,24,24,2024-07-29 00:00:00,2024-08-02 00:00:00,2024-07-29 00:00:00,2024-07-30 00:00:00,2024-07-26 00:00:00,,6.客需變更,7/26->9/20,Cus PO資訊，7/26->9/20，59-66544-0010
,,MO,ZRTC,93N1,93N124070059,93-F0023-0010,STR-TSPI7-070D,24,24,2024-07-30 00:00:00,2024-08-05 00:00:00,2024-07-30 00:00:00,,2024-07-26 00:00:00,,6.客需變更,7/26->9/20,Cus PO資訊，7/26->9/20，59-66544-0010
,,MO,ZRTC,93N1,93N124050096,93-F0023-0010,STR-TSPI7-070D,24,24,2024-05-20 00:00:00,2024-05-23 00:00:00,2024-05-20 00:00:00,2024-05-22 00:00:00,2024-05-17 00:00:00,,7.產能因子,,Cus PO資訊，5/24，59-66544-0010，系*24/天
,,MO,ZRTC,93N1,93N124050187,93-F0023-0010,STR-TSPI7-070D,24,24,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-21 00:00:00,2024-05-22 00:00:00,2024-05-17 00:00:00,,7.產能因子,,Cus PO資訊，5/24，59-66544-0010，系*24/天
,,MO,ZRTC,93N1,93N124030010,93-F0023-0010,STR-TSPI7-070D,24,24,2024-02-23 00:00:00,2024-02-27 00:00:00,2024-02-23 00:00:00,2024-02-22 00:00:00,2024-02-20 00:00:00,,,,Cus PO資訊，3/4->2/26，59-66544-0010
,,MO,ZRTC,93N1,93N124030229,93-F0023-0010,STR-TSPI7-070D,24,24,2024-02-23 00:00:00,2024-02-27 00:00:00,2024-02-23 00:00:00,2024-02-22 00:00:00,2024-02-21 00:00:00,,,,Cus PO資訊，3/4->2/26，59-66544-0010
,,MO,ZRTC,93N1,93N124030258,93-F0023-0010,STR-TSPI7-070D,24,24,2024-04-10 00:00:00,2024-04-17 00:00:00,2024-04-10 00:00:00,2024-04-10 00:00:00,2024-04-09 00:00:00,,7.產能因子,測試delay(4/15->4/17),Cus PO資訊，3/29->4/17，59-66544-0010
,,MO,ZRTC,93N1,93N124030259,93-F0023-0010,STR-TSPI7-070D,24,24,2024-04-11 00:00:00,2024-04-16 00:00:00,2024-04-11 00:00:00,2024-04-12 00:00:00,2024-04-09 00:00:00,,1.維修,1PCS不良檢修中,Cus PO資訊，3/29->4/17，59-66544-0010
,,MO,ZRTC,93N1,93N124030029,93-F0023-0010,STR-TSPI7-070D,24,24,2024-03-18 00:00:00,2024-03-21 00:00:00,2024-03-18 00:00:00,2024-03-18 00:00:00,2024-03-15 00:00:00,,,,Cus PO資訊，3/29->3/22，59-66544-0010
,,MO,ZRTC,93N1,93N124030257,93-F0023-0010,STR-TSPI7-070D,24,24,2024-03-14 00:00:00,2024-03-19 00:00:00,2024-03-14 00:00:00,2024-03-20 00:00:00,2024-03-13 00:00:00,,,,Cus PO資訊，3/29->3/22，59-66544-0010
,,MO,ZRTC,93N1,93N124020021,93-F0023-0010,STR-TSPI7-070D,24,24,2024-01-25 00:00:00,2024-01-30 00:00:00,2024-01-25 00:00:00,2024-01-29 00:00:00,2024-01-24 00:00:00,,,,Cus PO資訊，2/5，59-66544-0010
,,MO,ZRTC,93N1,93N124020036,93-F0023-0010,STR-TSPI7-070D,24,24,2024-01-26 00:00:00,2024-01-31 00:00:00,2024-01-26 00:00:00,2024-01-26 00:00:00,2024-01-25 00:00:00,,,,Cus PO資訊，2/5，59-66544-0010
,,MO,ZRTC,93N1,93N122030756,93-D0501-B020,IMT-BT-FOR IM-R2,24,24,2022-04-11 00:00:00,2022-06-30 00:00:00,2022-06-16 00:00:00,,2022-05-16 00:00:00,,2.產品品質異常,(材料)29-92100-Y080連續3台認不到硬碟裝置,維修中:裝置管理員驚嘆號
,,MO,ZRTC,93E1,93E122090080,93-F0023-003E,STR-TSPI7-070D,24,24,2022-08-19 00:00:00,2022-08-30 00:00:00,2022-08-25 00:00:00,2022-08-24 00:00:00,2022-08-24 00:00:00,,,,"客戶PPV,2022/09/14(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122120012,93-F0023-003E,STR-TSPI7-070D,24,24,2022-08-04 00:00:00,2022-08-25 00:00:00,2022-08-18 00:00:00,2022-08-19 00:00:00,2022-08-05 00:00:00,,,,"客戶PPV,2022/09/14(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122120013,93-F0023-003E,STR-TSPI7-070D,24,24,2022-08-19 00:00:00,2022-08-31 00:00:00,2022-08-26 00:00:00,2022-08-25 00:00:00,2022-08-24 00:00:00,,,,"客戶PPV,2022/09/14(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122070331,93-F0023-003E,STR-TSPI7-070D,24,24,2022-08-04 00:00:00,2022-08-24 00:00:00,2022-08-11 00:00:00,2022-08-10 00:00:00,2022-08-05 00:00:00,,,,"客戶PPV,2022/08/17(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122120011,93-F0023-003E,STR-TSPI7-070D,24,24,2022-07-14 00:00:00,2022-08-10 00:00:00,2022-08-02 00:00:00,,2022-07-29 00:00:00,,,,"客戶PPV,2022/08/17(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122070329,93-F0023-003E,STR-TSPI7-070D,24,24,2022-07-14 00:00:00,2022-08-22 00:00:00,2022-08-03 00:00:00,2022-08-02 00:00:00,2022-07-29 00:00:00,,,,"客戶PPV,2022/07/27(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122120010,93-F0023-003E,STR-TSPI7-070D,24,24,2022-06-17 00:00:00,2022-08-10 00:00:00,2022-08-02 00:00:00,,2022-07-29 00:00:00,,,,"客戶PPV,2022/07/27(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122070317,93-F0023-003E,STR-TSPI7-070D,24,24,2022-06-17 00:00:00,2022-08-09 00:00:00,2022-08-01 00:00:00,,2022-07-29 00:00:00,,,,"客戶PPV,2022/07/13(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122110009,93-F0023-003E,STR-TSPI7-070D,24,24,2022-06-07 00:00:00,2022-08-05 00:00:00,2022-07-30 00:00:00,,2022-07-29 00:00:00,,2.產品品質異常,59-66544-006E測試fail,"客戶PPV，2022/06/28(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93N1,93N123080219,93-F0023-0010,STR-TSPI7-070D,24,24,2023-07-20 00:00:00,2023-07-25 00:00:00,2023-07-20 00:00:00,2023-07-25 00:00:00,2023-07-10 00:00:00,,9.其它,W2 WMS WMS問題,8/1*48，59-66544-0010
,,MO,ZRTC,93N1,93N123080220,93-F0023-0010,STR-TSPI7-070D,24,24,2023-07-26 00:00:00,2023-07-31 00:00:00,2023-07-26 00:00:00,,2023-07-10 00:00:00,,9.其它,W2 WMS WMS問題,8/1*48，59-66544-0010
,,MO,ZRTC,93N1,93N123070348,93-F0023-0010,STR-TSPI7-070D,24,24,2023-07-18 00:00:00,2023-07-24 00:00:00,2023-07-18 00:00:00,2023-08-01 00:00:00,2023-07-10 00:00:00,,9.其它,W2 WMS WMS問題,7/19*48，59-66544-0010
,,MO,ZRTC,93N1,93N123070371,93-F0023-0010,STR-TSPI7-070D,24,24,2023-07-19 00:00:00,2023-07-24 00:00:00,2023-07-19 00:00:00,2023-08-05 00:00:00,2023-07-10 00:00:00,,9.其它,W2 WMS WMS問題,7/19*48，59-66544-0010
,,MO,ZRTC,93N1,93N124080236,93-41041-D020,MXE-1501/M8G/Dematic,24,24,2024-07-24 00:00:00,2024-07-30 00:00:00,2024-07-24 00:00:00,2024-07-31 00:00:00,2024-07-23 00:00:00,,,,"7/12*PD-N*KEEP,收單:2024/06/05,SH:58-99457-0020"
,,MO,ZRTC,93N1,93N124060102,93-F0023-0010,STR-TSPI7-070D,24,24,2024-06-12 00:00:00,2024-06-20 00:00:00,2024-06-12 00:00:00,2024-06-12 00:00:00,2024-06-11 00:00:00,,,,6/21，59N124050096/59-66544-0010
,,MO,ZRTC,93N1,93N124060132,93-F0023-0010,STR-TSPI7-070D,24,24,2024-06-13 00:00:00,2024-06-20 00:00:00,2024-06-13 00:00:00,2024-06-19 00:00:00,2024-06-12 00:00:00,,,,6/21，59N124050096/59-66544-0010
,,MO,ZRTC,93E1,93E124060111,93-F0093-009E,Zoetis Vetscan HUB-US,24,24,2024-05-02 00:00:00,2024-05-07 00:00:00,2024-05-02 00:00:00,2024-05-08 00:00:00,2024-04-30 00:00:00,,,,6/12->5/15->4/8，85-A1021-0510，48/天
,,MO,ZRTC,93E1,93E124050026,93-D2102-010E,MLC-M104,24,24,2024-04-24 00:00:00,2024-05-02 00:00:00,2024-04-24 00:00:00,2024-04-26 00:00:00,2024-04-23 00:00:00,,,,5/3，85-A1027-3410
,,MO,ZRTC,93N1,93N122050971,93-F0085-0010,iw.brain Jetson Xavier System,24,24,2022-06-27 00:00:00,2022-07-22 00:00:00,2022-07-15 00:00:00,2022-07-12 00:00:00,2022-07-07 00:00:00,,,,"4/8安排掃貨,2022/07/29,59-77B04-0010(60-72502-L010+60-77B04-F010+60-V0052-F030)+93"
,,MO,ZRTC,93N1,93N123030901,93-41045-E520,Dell Embedded Gateway EGW-5200-MKWWT,24,24,2023-05-04 00:00:00,2023-05-09 00:00:00,2023-05-04 00:00:00,2023-05-04 00:00:00,2023-04-19 00:00:00,,4.製程銜接,,3/14*4+3/24*23
,,MO,ZRTC,93E1,93E124030021,IPC-100N5-T041,RK410W-13E2-E43_IT041,24,24,2024-03-12 00:00:00,2024-03-15 00:00:00,2024-03-12 00:00:00,2024-03-12 00:00:00,2024-03-08 00:00:00,,,,"2024/03/25,91-41809-0080+91-46709-0040"
,,MO,ZRTC,93E1,93E123090135,TPC-41044-0370,TPC-41044-0370(MVP-614A-3E),24,24,2023-09-14 00:00:00,2023-09-20 00:00:00,2023-09-14 00:00:00,,2023-09-11 00:00:00,,,,"2023/09/27,93-41044-7230-20(9/7)"
,,MO,ZRTC,93E1,93E123070211,TPC-45103-0040,TPC-45103-0040(DLAP-211-JNX),24,24,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-06-30 00:00:00,,2023-06-28 00:00:00,,,,"2023/07/25,93-45103-0020Z"
,,MO,ZRTC,93N1,93N123060368,93-F0023-0010,STR-TSPI7-070D,24,24,2023-06-19 00:00:00,2023-06-26 00:00:00,2023-06-19 00:00:00,2023-06-17 00:00:00,2023-06-15 00:00:00,,,,2023/06/28，59-66544-006E
,,MO,ZRTC,93N1,93N123060386,93-F0023-0010,STR-TSPI7-070D,24,24,2023-06-17 00:00:00,2023-06-26 00:00:00,2023-06-17 00:00:00,2023-06-16 00:00:00,2023-06-15 00:00:00,,,,2023/06/28，59-66544-006E
,,MO,ZRTC,93N1,93N123050584,93-F0023-0010,STR-TSPI7-070D,24,24,2023-05-23 00:00:00,2023-05-29 00:00:00,2023-05-23 00:00:00,2023-05-22 00:00:00,,,,,2023/05/29，59-66544-006E
,,MO,ZRTC,93N1,93N123050585,93-F0023-0010,STR-TSPI7-070D,24,24,2023-05-25 00:00:00,2023-05-29 00:00:00,2023-05-25 00:00:00,2023-05-24 00:00:00,,,,,2023/05/29，59-66544-006E
,,MO,ZRTC,93N1,93N123040731,93-41050-A340,Dell Embedded Gateway EGW-3200-VT5G6,24,24,2023-07-06 00:00:00,2023-07-12 00:00:00,2023-07-06 00:00:00,,2023-06-07 00:00:00,,4.製程銜接,"未如期入庫 ,A030*2需重工換CPU",2023/04/11，A020->A030 X01
,,MO,ZRTC,93N1,93N123040528,93-41045-E520,Dell Embedded Gateway EGW-5200-MKWWT,24,24,2023-06-06 00:00:00,2023-06-13 00:00:00,2023-06-06 00:00:00,2023-06-05 00:00:00,2023-05-24 00:00:00,,,,2023/04/11
,,MO,ZRTC,93E1,93E123040041,93-F0023-003E,STR-TSPI7-070D,24,24,2023-04-13 00:00:00,2023-04-19 00:00:00,2023-04-13 00:00:00,2023-04-11 00:00:00,2023-04-11 00:00:00,,,,"2023/04/10，(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E123030043,93-F0023-003E,STR-TSPI7-070D,24,24,2023-03-06 00:00:00,2023-03-10 00:00:00,2023-03-06 00:00:00,,2023-03-03 00:00:00,,,,2023/03/06，59-66544-006E
,,MO,ZRTC,93E1,93E123030087,93-F0023-003E,STR-TSPI7-070D,24,24,2023-03-07 00:00:00,2023-03-10 00:00:00,2023-03-07 00:00:00,2023-03-07 00:00:00,2023-03-03 00:00:00,,,,2023/03/06，59-66544-006E
,,MO,ZRTC,93E1,93E123010137,TPC-41037-0520,TPC-41037-0520(MXE-5501),24,24,2023-01-11 00:00:00,2023-02-14 00:00:00,2023-01-11 00:00:00,2023-02-06 00:00:00,2023-01-10 00:00:00,,1.維修,29-6BC00-L430不良*1 最快2/8到貨,"2023/02/22,93-41037-0360"
,,MO,ZRTC,93E1,93E123020158,93-F0012-000C,"ABB NZ 10.1"" Touch Panel PC/CC",24,24,2023-02-10 00:00:00,2023-02-15 00:00:00,2023-02-10 00:00:00,2023-02-09 00:00:00,2023-02-07 00:00:00,,,,2023/02/16，30pcs/天
,,MO,ZRTC,93N1,93N123020289,93-P6000-2010,OM-101,24,24,2023-02-15 00:00:00,2023-03-07 00:00:00,2023-02-15 00:00:00,2023-02-12 00:00:00,2023-02-13 00:00:00,,,,2023/02/01，FCST*100
,,MO,ZRTC,93N1,93N121110607,9B-D2101-2050,"MLC8 with i3 CPU,AC ver,rear chassis",24,24,2023-03-15 00:00:00,2023-03-22 00:00:00,2023-03-15 00:00:00,2023-03-17 00:00:00,2023-03-08 00:00:00,,3.材料跳票,34-33163-0000 3/15料齊,2023/01/11，55-A1025-0060
,,MO,ZRTC,93E1,93E122110116,TPC-41035-0880,TPC-41035-0880 (MXC-6401D),24,24,2022-11-30 00:00:00,2022-12-09 00:00:00,2022-11-30 00:00:00,2022-11-30 00:00:00,2022-11-30 00:00:00,,1.維修,58-99524-0020 不良無庫存,"2022/12/26->2022/11/9,93-41035-0280-10"
,,MO,ZRTC,93E1,93E122120054,93-F0023-003E,STR-TSPI7-070D,24,24,2023-02-13 00:00:00,2023-02-16 00:00:00,2023-02-13 00:00:00,2023-02-11 00:00:00,2023-02-10 00:00:00,,,,"2022/12/05->2023/02/07,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E123020185,93-F0023-003E,STR-TSPI7-070D,24,24,2023-02-14 00:00:00,2023-02-17 00:00:00,2023-02-14 00:00:00,2023-02-15 00:00:00,2023-02-10 00:00:00,,,,"2022/12/05->2023/02/07,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122110056,93-F0023-003E,STR-TSPI7-070D,24,24,2023-01-31 00:00:00,2023-02-07 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00,2023-01-30 00:00:00,,,,"2022/11/11->2023/01/31,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E123010228,93-F0023-003E,STR-TSPI7-070D,24,24,2023-02-01 00:00:00,2023-02-08 00:00:00,2023-02-01 00:00:00,2023-02-06 00:00:00,2023-01-30 00:00:00,,1.維修,不良品待分析*2,"2022/11/11->2023/01/31,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122110055,93-F0023-003E,STR-TSPI7-070D,24,24,2023-01-12 00:00:00,2023-01-19 00:00:00,2023-01-12 00:00:00,2023-01-31 00:00:00,2023-01-11 00:00:00,,,,"2022/11/01->2023/01/10,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E123010227,93-F0023-003E,STR-TSPI7-070D,24,24,2023-01-13 00:00:00,2023-01-30 00:00:00,2023-01-13 00:00:00,2023-02-02 00:00:00,2023-01-12 00:00:00,,2.生產異常,Panel不良，29-92070-Y010 領料中*6,"2022/11/01->2023/01/10,(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93N1,93N122060587,93-41045-DF40,Dell Embedded Gateway EGW-5200-VRR9P,24,24,2022-07-02 00:00:00,2022-08-11 00:00:00,2022-08-03 00:00:00,2022-08-02 00:00:00,2022-07-21 00:00:00,,1.維修,AUDIO TEST FAIL,"2022/08/19,85-44833-A010"
,,MO,ZRTC,93N1,93N122080552,93-41045-DF40,Dell Embedded Gateway EGW-5200-VRR9P,24,24,2022-07-02 00:00:00,2022-08-22 00:00:00,2022-08-16 00:00:00,2022-08-16 00:00:00,2022-08-11 00:00:00,,,,"2022/08/19,85-44833-A010"
,,MO,ZRTC,93N1,93N122070051,TPC-41036-0820,TPC-41036-0820(MVP-6002),24,24,2022-01-18 00:00:00,2022-06-06 00:00:00,2022-05-23 00:00:00,2022-05-24 00:00:00,2022-05-20 00:00:00,,,,"2022/07/06,93-41036-1150"
,,MO,ZRTC,93E1,93E122060289,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-23 00:00:00,2022-06-22 00:00:00,2022-06-18 00:00:00,2022-06-18 00:00:00,2022-06-16 00:00:00,,,,"2022/06/15(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122090010,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-23 00:00:00,2022-06-23 00:00:00,2022-06-19 00:00:00,2022-06-18 00:00:00,2022-06-16 00:00:00,,,,"2022/06/15(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E"
,,MO,ZRTC,93E1,93E122050298,93-99724-B05E,Seatex 2U Engine/ETX-BT-J1900,24,24,2022-07-10 00:00:00,2022-08-12 00:00:00,2022-08-04 00:00:00,2022-08-03 00:00:00,2022-08-03 00:00:00,,,,"2022/06/08,59-65430-0020+59-79001-1020+85-77200-A03E(59-77200-30D0+59-71116-6130(60-71116-B0N0+60-71116-F090)+93"
,,MO,ZRTC,93E1,93E122050285,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-09 00:00:00,2022-06-02 00:00:00,2022-05-30 00:00:00,,2022-05-26 00:00:00,,,,"2022/05/30(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93E1,93E122060038,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-09 00:00:00,2022-06-07 00:00:00,2022-06-02 00:00:00,2022-06-01 00:00:00,2022-05-26 00:00:00,,,,"2022/05/30(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93N1,93N122090286,93-45103-0020Z,DLAP-211-JNX,24,24,2022-09-12 00:00:00,2022-09-23 00:00:00,2022-09-19 00:00:00,2022-09-16 00:00:00,2022-09-12 00:00:00,,,,"2022/05/25+2022/06/30*4+2022/07/13*2,59-77B05-0030(60-77B00-L010+60-77B05-F010)+93,0020-->0020Z"
,,MO,ZRTC,93E1,93E122040442,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-05 00:00:00,2022-05-31 00:00:00,2022-05-27 00:00:00,2022-05-26 00:00:00,2022-05-24 00:00:00,,,,"2022/04/29(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93E1,93E122050056,93-F0023-003E,STR-TSPI7-070D,24,24,2022-05-05 00:00:00,2022-05-31 00:00:00,2022-05-26 00:00:00,2022-05-25 00:00:00,2022-05-24 00:00:00,,,,"2022/04/29(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93E1,93E122030028,93-F0023-003E,STR-TSPI7-070D,24,24,2022-03-10 00:00:00,2022-05-24 00:00:00,2022-05-21 00:00:00,2022-05-20 00:00:00,2022-05-19 00:00:00,,,,"2022/03/31(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93E1,93E122040440,93-F0023-003E,STR-TSPI7-070D,24,24,2022-03-10 00:00:00,2022-05-25 00:00:00,2022-05-22 00:00:00,2022-05-20 00:00:00,2022-05-19 00:00:00,,,,"2022/03/31(@*6/24台/天+請OP-Fiona提供外箱貼紙),59-66544-006E(客戶PPV)"
,,MO,ZRTC,93E1,93E122010092,APC-NT056-0010,APC-NT056-0000,24,24,2022-01-07 00:00:00,2022-01-19 00:00:00,2022-01-12 00:00:00,2022-01-11 00:00:00,2022-01-11 00:00:00,,,,2022/01/25.Order No:1100005219
,,MO,ZRTC,93E1,93E122010056,93-45R02-010E,"ROScube Pico, NX, NPN-2B",24,24,2021-12-01 00:00:00,2022-01-10 00:00:00,2021-12-29 00:00:00,2021-12-28 00:00:00,2021-12-24 00:00:00,,,,2022/01/12
,,MO,ZRTC,93E1,93E121120016,93-F0085-002E,iw.brain Jetson Xavier System,24,24,2021-11-04 00:00:00,2022-01-17 00:00:00,2021-12-29 00:00:00,2021-12-28 00:00:00,2021-12-24 00:00:00,,,,"2021/12/01*25+2022/02/24*25(PCC-Renee告知不需驗證),59-77B04-002E押12/24"
,,MO,ZRTC,93E1,93E121100024,93-F0023-003E,STR-TSPI7-070D,24,24,2021-11-03 00:00:00,2021-11-24 00:00:00,2021-11-10 00:00:00,2021-11-09 00:00:00,2021-10-29 00:00:00,,,,"2021/11/25(OK+已掃貨付費+@*6/24台/天),59-66544-006E押10/29"
,,MO,ZRTC,93E1,93E121110067,93-F0023-003E,STR-TSPI7-070D,24,24,2021-11-03 00:00:00,2021-11-24 00:00:00,2021-11-11 00:00:00,2021-11-10 00:00:00,2021-10-29 00:00:00,,,,"2021/11/25(OK+已掃貨付費+@*6/24台/天),59-66544-006E押10/29"
,,MO,ZRTC,93E1,93E121090094,93-F0023-003E,STR-TSPI7-070D,24,24,2021-08-10 00:00:00,2021-10-08 00:00:00,2021-09-27 00:00:00,2021-09-27 00:00:00,2021-09-15 00:00:00,,,,"2021/09/01(@*6/24台/天),59-66544-006E押9/10"
,,MO,ZRTC,93E1,93E121090174,93-F0023-003E,STR-TSPI7-070D,24,24,2021-08-10 00:00:00,2021-10-21 00:00:00,2021-09-25 00:00:00,2021-09-23 00:00:00,2021-09-15 00:00:00,,,,"2021/09/01(@*6/24台/天),59-66544-006E押9/10"
,,MO,ZRTC,93E1,93E121080015,93-F0023-003E,STR-TSPI7-070D,24,24,2021-06-07 00:00:00,2021-06-28 00:00:00,2021-06-19 00:00:00,,2021-06-18 00:00:00,,,,"2021/06/08,59-66544-006E押6/18"
,,MO,ZRTC,93N1,93N122090535,93-45103-0020Z,DLAP-211-JNX,24,24,2022-12-05 00:00:00,2022-12-09 00:00:00,2022-12-05 00:00:00,2022-12-02 00:00:00,2022-11-28 00:00:00,,,,"1+N,2022/12/07*161+2022/12/15*9,59-77B05-0030Z(60-77B00-L010+60-77B05-F010)+93"
,,MO,ZRTC,93E1,93E123030414,93-P8000-H10E,GM-270G,24,24,2023-04-26 00:00:00,2023-05-10 00:00:00,2023-04-26 00:00:00,2023-04-18 00:00:00,2023-04-12 00:00:00,,2.生產異常,驗證過程中有異常問題待RD處理，導致delay與產線技轉時間,"#8874,料保留;0002871325/0002,59-7B501-0010"
,,MO,ZRTC,93N1,93N125050437,93-45103-1420,DLAP-211-Orin Nano 8GB/5-Year Warranty,24,24,2025-05-13 00:00:00,2025-05-19 00:00:00,2025-05-13 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,,,,"[宏碁急單],59-77B05-0060"
,,MO,ZRTC,93N1,93N121060102,93-D0501-B020,IMT-BT-FOR IM-R2,24,24,2021-05-03 00:00:00,2021-05-25 00:00:00,2021-05-21 00:00:00,,2021-05-11 00:00:00,,,,(9301-2021120002)
,,MO,ZRTC,93R1,93R123060081,93-SHT01-111E,Triton S1 RCP,24,24,2023-06-07 00:00:00,2023-06-14 00:00:00,2023-06-07 00:00:00,2023-06-12 00:00:00,,,,,(9)鐵件soring
,,MO,ZRTC,93R1,93R124030182,93-41042-0070,MCM-100,24,24,2024-04-08 00:00:00,2024-04-17 00:00:00,2024-04-08 00:00:00,,2024-03-28 00:00:00,,7.產能因子,地震停線(4/10->4/11->4/17)測試delay,(5)庫存改機
,,MO,ZRTC,93R1,93R123110064,93-P7000-B40E,"IM-215 W/adapter,HDMI,USB cable,NZ Cord",24,24,2024-02-23 00:00:00,2024-02-29 00:00:00,2024-02-23 00:00:00,,2024-02-22 00:00:00,,,,(1)庫存改機DEV-0048917
,,MO,ZRTC,93E1,93E123040091,93-F0023-003E,STR-TSPI7-070D,24,24,2023-04-20 00:00:00,2023-04-25 00:00:00,2023-04-20 00:00:00,,2023-04-19 00:00:00,,,,""" 原2023/Q1 ""2023/04/24，59-66544-006E"
,,MO,ZRTC,93E1,93E123040240,93-F0023-003E,STR-TSPI7-070D,24,24,2023-04-29 00:00:00,2023-05-05 00:00:00,2023-04-29 00:00:00,,2023-04-19 00:00:00,,2.生產異常,59-66544-0010異常待維修 *1,""" 原2023/Q1 ""2023/04/24，59-66544-006E"
,,MO,ZRTC,93N1,93N121120297,AG-M9019A-CFG001,M9019A,24,24,2021-11-29 00:00:00,2021-12-28 00:00:00,2021-12-16 00:00:00,2021-12-15 00:00:00,2021-11-26 00:00:00,,,,
,,MO,ZRTC,93N1,93N123070174,93-41042-0070,MCM-100,24,24,2023-08-28 00:00:00,2023-08-31 00:00:00,2023-08-28 00:00:00,,2023-08-11 00:00:00,,2.生產異常,85-19015-6020板卡未產出,
,,MO,ZRTC,93N1,93N123120062,93-63007-0190,U2356-66001,24,24,2023-10-24 00:00:00,2023-10-27 00:00:00,2023-10-24 00:00:00,,2023-10-23 00:00:00,,,,
Save,,MO,ZREL,93N1,93N125030043,AG-M9019-60130,M9019-60130,25,24,2025-06-11 00:00:00,2025-07-25 00:00:00,2025-06-11 00:00:00,,2025-05-22 00:00:00,,3.材料跳票,31-32313-0040-A0(20250506)交期跳票,
,,MO,ZRTC,93R1,93R123120070,93-99751-103E,FRONT PANEL ASSEMBLY II BT2 ADLINK,24,24,2023-12-15 00:00:00,2023-12-26 00:00:00,2023-12-15 00:00:00,,,,,,
,,MO,ZRTC,93E1,93E124050021,93-D2102-010E,MLC-M104,23,23,2024-03-15 00:00:00,2024-03-20 00:00:00,2024-03-15 00:00:00,2024-03-18 00:00:00,2024-03-12 00:00:00,,,,DEV-0050137，3/22，85-A1027-3410
,,MO,ZRTC,93E1,93E123100417,93-D1506-000E,Amwell C500,23,23,2023-10-24 00:00:00,2023-11-20 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-20 00:00:00,,2.生產異常,燒機全數Fail待分析,"DEV-0048794，DEV-0048553#8704,料保留:0003742493-0001"
